Brand,Nama Product,Category,SkinType,Ingredients,Berat, Price ,Link
PURE DEW,PURE DEW Cleanser Facial Wash 5X Ceramide Centella Asiatica Facial Wash,Facewash,Acne,"Aqua, Cocamidopropyl Betaine, Potassium Cocoyl Glycinate, Cocamide Dea, Sodium Chloride, Acrylates/Steareth-20 Methacrylate Copolymer, Glycerin, Phenoxyethanol, Potassium Hydroxide, Methylparaben, Citric Acid, Anthemis Nobilis Flower Water, Sodium Myristoyl Glutamate, Sodium Benzoate, Butylene Glycol, Sodium Lauryl Sulfate, Sodium Hyaluronate, Niacinamide, 1,2-Hexanediol, Hydroxyacetophenone, Tuber Magnatum Extract, Centella Asiatica Extract, Glycine, Hydrogenated Lecithin, Caprylyl Glycol, Serine, Glutamic Acid, Aspartic Acid, Leucine, Alanine, Lysine, Arginine, Tyrosine, Phenylalanine, Valine, Threonine, Proline, Isoleucine, Histidine, Ceramide Np, Ceramide Ns/Ceramide Ng, Ceramide As, Ceramide Eop, Ceramide Ap",70gram," Rp 26,514.00 ",https://shopee.co.id/PURE-DEW-Cleanser-Facial-Wash-5X-Ceramide-Centella-Asiatica-Facial-Wash-70-gr-Sabun-Cuci-Muka-Pembersih-Centella-Asiatica-Facial-Cleanser-kulit-sensitif-i.1088411547.22482583405?sp_atk=652840b0-aabf-45ff-bb6e-d7e3fd7bb1cc&xptdk=652840b0-aabf-45ff-bb6e-d7e3fd7bb1cc
Herborist,Herborist Facial Foam (Sabun Wajah) Tea Tree ,Facewash,Sensitive,"Aqua, Lauric Acid, Glycerin, Sodium Laureth Sulfate, Myristic Acid, Stearic Acid, PEG-150 Pentaerythrityl Tetrastearate, Potassium Hydroxide, Cocamidopropyl Betaine, Glycol Distearate, Perfume, Lauryl Betaine, DMDM Hydantoin, Sodium Chloride, Methylparaben, Olive (Olea Europea) Oil, Sodium Lactate, Disodium EDTA, Propylparaben, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Glycyrrhiza Glabra Root Extract, Citrus Aurantium Dulcis Fruit Extract, Kojic Acid, Ci 19140, Ci 42090",80gram," Rp 22,900.00 ",https://shopee.co.id/Herborist-Facial-Foam-(Sabun-Wajah)-Tea-Tree-80gr-i.2315394.1022259789?sp_atk=0a36a6e0-3f2d-42ba-8e78-8092a3304456&xptdk=0a36a6e0-3f2d-42ba-8e78-8092a3304456
Whitelab,Whitelab Brightening Facial Wash,Facewash,All Skin Type,"Aqua, Palmitic Acid, Glycerin, Lauric Acid, Sodium Laureth Sulfate, Potassium Hydroxide, Stearic Acid, Cocamide DEA, Propylene Glycol, Glycol Distearate, Disodium Cocoyl Glutamate, Sodium Chloride, Parfum, Cocamidopropyl Betaine, DMDM Hydantoin, Licorice Glycyrrhiza Glabra Extract, Niacinamide, Allantoin, Collagen, Polyquaternium-7, Tetrasodium EDTA",60gram," Rp 19,560.00 ",https://shopee.co.id/Whitelab-Brightening-Facial-Wash-Sabun-Pembersih-Muka-Pencerah-Dengan-Niacinamide-Hyaluronic-Collagen-BPOM--i.201071840.3611788396?sp_atk=6fdffb27-acb4-4732-8949-a9dd8927a079&xptdk=6fdffb27-acb4-4732-8949-a9dd8927a079
Azarine,Azarine Acne Gentle Cleansing Foam,Facewash,Acne,"Aqua, Disodium Laureth Sulfosuccinate, Cocoamidopropyl Betaine, Propanediol, Glycerin, Aloe Barbadensis Leaf Extract, Hamamelis Virginia Leaf Extract, Polyacrylate Crosspolymer-6, Alcohol, Citrus Limon (lemon) fruit extract, Chlorphenesin, Salicylic Acid, Rheum Palmatum Root Extract, Allantoin, Honey (Mel), Portulaca Oleracea Extract, Fragrance, Citric Acid.",60ml," Rp 18,650.00 ",https://shopee.co.id/Azarine-Acne-Gentle-Cleansing-Foam-60ml-i.80036545.1889291042?sp_atk=a5c0aaf9-0e69-44e4-af3a-43fb56545644&xptdk=a5c0aaf9-0e69-44e4-af3a-43fb56545644
Skintific,SKINTIFIC - 5X Ceramide Low pH Cleanser,Facewash,Acne,"Water, Glycerin, Sodium Cocoyl Glycinate, Lauryl Betaine, Hydroxypropyl Starch Phosphate, Citric Acid, PEG-60 Glyceryl Isostearate, Sodium Chloride, Glyceryl Stearate SE, Coco-Glucoside, Phenoxyethanol, Sodium Cocoyl Isethionate, Sodium Phytate, Ethylhexylglycerin, Polyquaternium-7, 1,2-Hexanediol, Quillaja Saponaria Bark Extract, Sodium Benzoate, Ceramide NP, Ceramide EOP, Hyaluronic Acid, Ceramide AP, Centella Asiatica Extract, Niacinamide, Ceramide AS, Panthenol, Ceramide NS, Salicylic Acid, Arginine, Butylene Glycol, Hydrogenated Lecithin, Cetearyl Alcohol, Tocopherol, Stearic Acid, Ascorbic Acid, Sodium Hyaluronate, Cholesterol, Phytosphingosine",80ml," Rp 92,900.00 ",https://shopee.co.id/SKINTIFIC-5X-Ceramide-Low-pH-Cleanser-80ml-Facial-Wash-Cleanser-Face-Wash-Sabun-Cuci-Muka-Acner-Glowing-Barrier-Anti-Aging-Exfoliating-Brightening-Whitening-Blackhead-Removal-Calming-Peeling-Dark-Spot-cleanser-with-Ceramide-Amino-acid-Hyaluronic-acid-i.380266264.10532826663?sp_atk=de9140d7-a4a5-4488-b3cd-40f3bad53f55&xptdk=de9140d7-a4a5-4488-b3cd-40f3bad53f55
Wardah,Wardah Acnederm Salicylic Acid,Facewash,Acne,"Aqua, Sodium Laureth Sulfate, Glycerin, Cocamidopropyl Betaine, Decyl Glucoside, PEG-120 Methyl Glucose Dioleate, Acrylates Copolymer, Zinc Gluconate, PEG-3 Distearate, Salicylic Acid, Allantoin, Sodium Lauroyl Sarcosinate, Ethylhexylglycerin, Fragrance, Sodium Chloride, Potassium Hydroxide, Phenoxyethanol, Disodium EDTA",50ml," Rp 23,920.00 ",https://shopee.co.id/Wardah-Acnederm-Salicylic-Acid-Zinc-Acne-Clearing-Low-pH-Foaming-Cleanser-i.59763733.1313435380?sp_atk=9648bdca-b454-44d8-b0ba-f54bf5a17f03&xptdk=9648bdca-b454-44d8-b0ba-f54bf5a17f03
Wardah,Wardah Lightening Niacinamide Micellar Gentle Wash,Facewash,All Skin Type,"Aqua, Glycerin, Cocamidopropyl Betaine, Cocamide DEA, Sodium Laureth Sulfate, PEG-3 Distearate, Sodium Chloride, Potassium Laureth Phosphate, Sodium Methyl Cocoyl Taurate, Sodium Lauroyl Sarcosinate, Niacinamide, Glycyrrhiza Glabra Root Extract, Fragrance, Propylene Glycol, Phenoxyethanol, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Triethanolamine, Citric Acid",50ml," Rp 24,000.00 ",https://shopee.co.id/Wardah-Lightening-Niacinamide-Micellar-Gentle-Wash-Facial-Wash-dengan-Advanced-Niacinamide-Sabun-Cuci-Muka-pH-Balance-Untuk-Mencerahkan-Cocok-untuk-Kulit-Kombinasi-Normal-Cenderung-Kering-i.59763733.4136702051?sp_atk=af36f888-59de-484e-9d0d-a8e653ef733f
Wardah,Wardah Perfect Bright Creamy Foam Bright + Oil Control,Facewash,Oily,"Myristic Acid, Glycerin, Aqua, Propylene Glycol, Potassium Hydroxide, Stearic Acid, Ethylene Glycol Distearate, Lauric Acid, Decyl Glucoside, Glyceryl Stearate, Olive Oil PEG-7 Esters, Polyquaternium-7, Niacinamide, Silica, Phenoxyethanol, Fragrance, Kaolin, Panthenol, Disodium EDTA, Ethylhexylglycerin, Ulva Lactuca Extract, Butylene Glycol, Glycyrrhiza Glabra (Licorice) Root Extract, Potassium Sorbate, Sodium Benzoate, Vitis Vinifera (Grape) Seed Extract.",50ml," Rp 22,000.00 ",https://shopee.co.id/%EF%BF%BCWardah-Perfect-Bright-Creamy-Foam-Bright-Oil-Control-Facial-Wash-Untuk-Kulit-Berminyak-Mengontrol-Produksi-Minyak-Hingga-12-Jam-dan-Membersihkan-Kulit-Tanpa-Rasa-Ketarik-Cerah-Sehat-Bebas-Kilap-i.59763733.1881840971
Wardah,Wardah Crystal Secret NMF Amino + AHA PHA Clarifying Foaming Cleanser ,Facewash,Normal,"Aqua, Glycerin, Cocamidopropyl Betaine, Cocamide DEA, Sodium Laureth Sulfate, PEG-3 Distearate, Sodium Chloride, Potassium Laureth Phosphate, Sodium Methyl Cocoyl Taurate, Sodium Lauroyl Sarcosinate, Niacinamide, Glycyrrhiza Glabra Root Extract, Fragrance, Propylene Glycol, Phenoxyethanol, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Triethanolamine, Citric Acid, NMF Amino, AHA, PHA",100ml," Rp 37,260.00 ",https://shopee.co.id/NEW!-Wardah-Crystal-Secret-NMF-Amino-AHA-PHA-Clarifying-Foaming-Cleanser-100-mL-Sabun-Cuci-Muka-Gentle-Acid-Mantle-Expert-Daily-Exfoliating-Foam-yang-Membersihkan-dengan-Gentle-Kulit-Lembap-dan-Tampak-Cerah-Sebening-Kristal-i.59763733.1080148384?sp_atk=67fcad78-9338-464c-b36b-864da4b8e9be&xptdk=67fcad78-9338-464c-b36b-864da4b8e9be
Azarine,Azarine Active Bright - Brightening Creamy Facial Foam,Facewash,Normal,"Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycerin, Niacinamide, Glycol Distearate, Arbutin, Citric Acid, Sodium PCA, DMDM Hydantoin, Phenoxyethanol, Fragrance, Sodium Hyaluronate, Disodium EDTA",50gram," Rp 15,650.00 ",https://shopee.co.id/Azarine-Active-Bright-Brightening-Creamy-Facial-Foam-50gr-i.80036545.21824833002?sp_atk=92e119d6-60b4-40ab-85b0-f69e92b374d6&xptdk=92e119d6-60b4-40ab-85b0-f69e92b374d6
SKIN1004,SKIN1004 Madagascar Centella Ampoule Foam,Facewash,Sensitive,"Centella extract, sodium cocoyl isethionate, glycerine, purified water, sodium methyl cocoyl taurate, coco-betaine, potassium cocoyl, glycinate,  1,2-hexxanediol, sodium chloride, potassium cocoate, potassium benzoate, polyquaternium-67, citric acid, dextrin, sodium bicarbonate, cacao extract, disodium EDTA, sodium acetate, butylene glycol, coptis chinensis root extract, sodium hyaluronate, eclipta extract, coccinia indica fruit extract",125ml," Rp 119,200.00 ",https://shopee.co.id/SKIN1004-Madagascar-Centella-Ampoule-Foam-125ml-i.555954448.15516099411?sp_atk=ad8e3caa-d198-40a6-b735-aecc9361884a&xptdk=ad8e3caa-d198-40a6-b735-aecc9361884a
Emina,Emina Ms. Pimple Acne Solution Face Wash 50 ml ,Facewash,Acne,"Aqua, Propylene Glycol, Sodium Laureth Sulfate, Acrylates Copolymer, Hydroxyethylcellulose, Cocamidopropyl Betaine, Zinc Gluconate, Salicylic Acid, Triethanolamine, DMDM Hydantoin, Sodium Chloride, Allantoin, Fragrance, Phenoxyethanol, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Ethylhexylglycerin, Polysorbate 20, CI 19140, CI 42090.",50ml," Rp 20,250.00 ",https://shopee.co.id/Emina-Ms.-Pimple-Acne-Solution-Face-Wash-50-ml-Pembersih-Wajah-Kulit-Berjerawat-i.63983008.2202837906
Emina,Emina Bright Stuff Face Wash,Facewash,Sensitive,"Myristic Acid, Glycerin, Aqua, Propylene Glycol, Potassium Hydroxide, Stearic Acid, Glycol Distearate, Lauric Acid, Decyl Glucoside, Glyceryl Stearate, PEG-7 Olive Glycerides, Niacinamide, Polyquaternium-7, Silica, Phenoxyethanol, Fragrance, Kaolin, Panthenol, Disodium EDTA, Ethylhexylglycerin, Butylene Glycol, Glycyrrhiza Glabra (Root) Extract, Actinidia Polygama Fruit Extract",50ml," Rp 17,550.00 ",https://shopee.co.id/NEW!-Emina-Bright-Stuff-Face-Wash-Sabun-Muka-Cerah-Glowing-Anti-Kusam-i.63983008.2202837872
Glad2Glow,Glad2Glow Centella Salicylic Acid Acne Gel Cleanser ,Facewash,Acne,"Aqua, Potassium Cocoyl Glycinate, Hydrogenated Starch Hydrolysate, Acrylates/Steareth-20 Methacrylate Crosspolymer, Centella Asiatica Extract, Potassium Cocoate, Salicylic Acid, Sodium Lauroamphoacetate, Lauryl Hydroxysultaine, Erythritol, Caprylyl Glycol, Potassium Hydroxide, Sodium Chloride, Disodium Edta, Glycosyl Trehalose, Hydroxypropyl Cyclodextrin, Aroma, Phenoxyethanol",70ml," Rp 38,900.00 ",https://shopee.co.id/%E3%80%90NEW-LAUNCH%E3%80%91Glad2Glow-Centella-Salicylic-Acid-Acne-Gel-Cleanser-70ml-Facial-Wash-Face-Wash-Jerawat-Komedo-Sabun-Cuci-Muka-Pembersih-Wajah-Face-Cleanser-Cuci-Muka-Sabun-Muka-Pencuci-Muka-i.809769142.27455737082?sp_atk=3761c1c4-8052-4bc7-b62a-2bf74082fa92&xptdk=3761c1c4-8052-4bc7-b62a-2bf74082fa92
NPURE,NPURE Cleanser Gel Noni,Facewash,Sensitive,"Water, Glycerin, Coco-Betaine, Morinda Citrifolia Fruit Extract, Pentylene Glycol, Xanthan Gum, Sodium Chloride, Coco-Glucoside, Glyceryl Caprylate, Caprylyl Glycol, Decyl Glucoside, Betaine, Butylene Glycol, Bisabolol, Sodium Cocoyl Isethionate, 1,2-Hexanediol, Disodium EDTA, Anthemis Nobilis Flower Extract, Citric Acid, Quillaja Saponaria Bark Extract, Ethylhexylglycerin, Allantoin, Caffeine, Caprylic/​Capric Triglyceride, Leuconostoc/​Radish Root Ferment Filtrate, Lactobacillus/​Soybean Ferment Extract, Lactobacillus Ferment, Lactobacillus/​Acerola Cherry Ferment, Lactococcus Ferment, Bifida Ferment Filtrate, Lactococcus Ferment Lysate, Lactobacillus/​Punica Granatum Fruit Ferment Extract, Lactobacillus Ferment Lysate, Hydrogenated Lecithin, Ceramide NP",100ml," Rp 55,900.00 ",https://shopee.co.id/NPURE-Cleanser-Gel-Noni-Sabun-Muka-Kulit-Sensitif-Gentle-Skin-Cleanser-Pembersih-Wajah-Hypoallergenic-Eksim-Eczema-Semua-Jenis-Kulit-i.115276607.12554256539?sp_atk=8dc20cfd-4e8b-4c2c-b596-7f85fe7b460c&xptdk=8dc20cfd-4e8b-4c2c-b596-7f85fe7b460c
SOMETHINC,SOMETHINC Low pH Gentle Jelly Cleanser,Facewash,All Skin Type,"Water, Potassium Laureth Phosphate, Glycerin, Potassium Cocoyl Glutamate, Acrylates/C10-30 , Alkyl Acrylate Crosspolymer, Butylene Glycol, Centella Asiatica Leaf Water, Caprylic/Capric, Triglyceride, Aspartic Acid, Caprylyl Glycol, Sodium Cocoyl Glutamate, 1,2-Hexanediol, Lauryl, Hydroxysultaine, Coco-Glucoside, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Glyceryl, Caprylate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sodium Cocoyl Isethionate, Disodium EDTA, Calendula Officinalis Flower Extract, Mentha Piperita (Peppermint) Oil, Quillaja, Saponaria Bark Extract, Artemisia Capillaris Extract",100ml," Rp 93,400.00 ",https://shopee.co.id/SOMETHINC-Low-pH-Gentle-Jelly-Cleanser-Sabun-Cuci-Muka-Semua-Jenis-Kulit-i.195455930.3030299955?sp_atk=92d8c7e3-f801-4e6e-9b8c-333f2b9f2b1c&xptdk=92d8c7e3-f801-4e6e-9b8c-333f2b9f2b1c
BIOAQUA,BIOAQUA 7X Ceramide Moisturizer Cleanser Cuci Muka,Facewash,All Skin Type,"Sodium hyaluronate, Hammamelis Virginiana extract, Centella asiatica extract, Saccaromyces/ rice ferment, Calendula officinalis flower extract, Ubiquinone, Citrus reticulata fruit extract, Tocopherol, Bisabolol, Salicylic acid, Citrus medica limonum fruit extract.",100gram," Rp 23,730.00 ",https://shopee.co.id/BIOAQUA-7X-Ceramide-Moisturizer-Cleanser-Cuci-Muka-100g-Gentle-Cleanser-Low-pH-Cleanser-Facial-Wash-For-Sensitive-Skin-Face-Sabun-Pembersih-i.297682305.20945429060?sp_atk=bf872be7-3500-4df8-811b-77ed15e42580&xptdk=bf872be7-3500-4df8-811b-77ed15e42580
Glow & Lovely,Glow & Lovely Bright C Glow Facial Foam,Facewash,All Skin Type,"Myristic Acid, Glycerin, Water, Propylene Glycol, Potassium Hydroxide, Stearic Acid, Lauric Acid, Glycol Distearate, Decyl Glucoside, Palmitic Acid, Hydroxystearic Acid, Glyceryl Stearate, Citrus Limon (Lemon) Juice, Niacinamide, Tocopheryl Acetate, Sodium Ascorbyl Phosphate, Pyridoxine HCl, Fragrance, Phenoxyethanol, Polyquaternium-7, Disodium EDTA, Piroctone Olamine, Arachidic Acid, Sodium Benzoate, Potassium Sorbate",50gram," Rp 16,000.00 ",https://shopee.co.id/Glow-Lovely-Bright-C-Glow-Facial-Foam-50g-i.932470899.21571405556